,date,updown,prediction,close,hl_pct,co_pct,vm5_pct,close-sma5,close-sma10,close-sma30,close-sma60,close-sma90,close-sma120,close-wma5,close-wma10,close-wma30,close-wma60,close-wma90,close-wma120,sma5-10,sma5-30,sma5-60,sma5-90,sma5-120,sma10-30,sma10-60,sma10-90,sma10-120,sma30-60,sma30-90,sma30-120,sma60-90,sma60-120,sma90-120,wma5-10,wma5-30,wma5-60,wma5-90,wma5-120,wma10-30,wma10-60,wma10-90,wma10-120,wma30-60,wma30-90,wma30-120,wma60-90,wma60-120,wma90-120,close-ema,close-dema,close-trendline,close-sar,close-kama,fama-mama,close-mavp,close-midpoint,close-midprice,close-t35,close-tema5,close-trima5,bbup-close,close-bblow,adx-adxr,apo,AROON,aroonos,bop,cci,cmo,dx,dif-dea,macd,difext-deaext,macdext,diffix-deafix,macdfix,mfi,DI,mom,ppo,roc1,roc5,roc10,roc30,rocp,rocr,rsi6,rsi12,rsi24,SKD,FKD,trix,ultosc,willr,ad,adosc,obv,atr,natr,trange,ht_dcperiod,ht_dcphase,HT_PHASOR,HT_SINE,ht_trendmode,close-max5,close-max30,close-max60,close-max120,close-min5,close-min10,close-min30,close-min60,min5-min10,min5-min30,min5-min60,min10-min30,min10-min60,min30-min60
0,2021/6/28,-0.02173913,0,5.06,-0.77471659,-0.125678178,-0.771634366,0.44587156,0.38252149,0.421778412,0.101422671,0.052631579,0.052631579,0.587171053,0.548843188,0.748757176,0.189649299,0.052631579,0.052631579,0.212045169,0.405669003,-0.009066815,-0.080996885,-0.080996885,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.184659721,0.651721566,0.055278233,-0.115971516,-0.115971516,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.363878912,0.957436445,0.387243005,0.168696171,0.956650686,-0.675039812,0.949260042,0.504424779,0.530973451,0.961743535,0.213551641,0.412313433,-0.32708602,0.073652058,0.926161219,-0.703006488,-0.142857143,-1,0.363960396,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,-0.259842014,-0.153999734,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.549729537,-0.09022414,-1,0.617729095,0.672020771,-0.143497024,0.084813111,-0.927339901,-0.266826941,-0.344133645,-0.054787133,-0.773651421,-0.78902444,-0.678571429,-1,0.378160976,0.240510892,0.663895392,-1,1,0.954887218,0.518796992,0.052631579,-0.352941176,-0.525773196,0.167883212,0.052631579,-0.971014493,0.115384615,-0.025210084,0.252747253,0.075471698,-1
1,2021/6/29,-0.008080808,0,4.95,-0.766654578,-0.366893033,-0.771634366,0.244036697,0.224928367,0.264859724,-0.050022946,-0.092105263,-0.092105263,0.315789474,0.354434447,0.591307158,0.026383662,-0.092105263,-0.092105263,0.212045169,0.405669003,-0.009066815,-0.080996885,-0.080996885,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.184659721,0.651721566,0.055278233,-0.115971516,-0.115971516,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.178755553,0.801370075,0.198471505,0.069776058,0.797703203,-0.675039812,0.763213531,0.309734513,0.336283186,0.821469829,-0.366842622,0.22761194,-0.224279718,-0.067873322,0.926161219,-0.703006488,-0.142857143,-1,-0.707722772,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,-0.259842014,-0.153999734,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.549729537,-0.09022414,-1,0.617729095,0.672020771,-0.143497024,0.084813111,-0.927339901,-0.323671277,-0.344133645,-0.120661682,-0.773651421,-0.78902444,-0.678571429,-1,0.378160976,0.240510892,0.663895392,-1,0.807017544,0.789473684,0.353383459,-0.092105263,-0.676470588,-0.75257732,0.00729927,-0.092105263,-0.971014493,0.115384615,-0.025210084,0.252747253,0.075471698,-1
2,2021/6/30,-0.010183299,0,4.91,-0.888257959,-0.314519791,-0.771634366,0.170642202,0.167621777,0.207798383,-0.10509408,-0.144736842,-0.144736842,0.217105263,0.28374036,0.534052606,-0.032985661,-0.144736842,-0.144736842,0.212045169,0.405669003,-0.009066815,-0.080996885,-0.080996885,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.184659721,0.651721566,0.055278233,-0.115971516,-0.115971516,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.111437968,0.744618668,0.129827324,0.036862638,0.739904118,-0.675039812,0.695560254,0.238938053,0.265486726,0.770461208,-0.577895081,0.160447761,-0.186895608,-0.119337097,0.926161219,-0.703006488,-0.142857143,-1,-0.707722772,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,-0.090710154,-0.153999734,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.549729537,-0.09022414,-1,0.617729095,0.672020771,-0.143497024,0.084813111,-0.927339901,-0.359542958,-0.344133645,-0.169160256,-0.773651421,-0.78902444,-0.892857143,-1,0.378160976,0.240510892,0.663895392,-1,0.736842105,0.729323308,0.293233083,-0.144736842,-0.794117647,-0.835051546,-0.051094891,-0.144736842,-0.971014493,0.115384615,-0.025210084,0.252747253,0.075471698,-1
3,2021/7/1,-0.004115226,0,4.86,-0.927662576,-0.315628465,-0.771634366,0.078899083,0.095988539,0.136471707,-0.173932997,-0.210526316,-0.210526316,0.09375,0.195372751,0.462484417,-0.107197314,-0.210526316,-0.210526316,0.212045169,0.405669003,-0.009066815,-0.080996885,-0.080996885,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.184659721,0.651721566,0.055278233,-0.115971516,-0.115971516,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.027290987,0.673679409,0.044022097,-0.000669451,0.667655261,-0.675039812,0.610993658,0.150442478,0.17699115,0.706700433,-0.841710655,0.076492537,-0.14016547,-0.183666815,0.926161219,-0.703006488,-0.142857143,-1,-0.850613861,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,-0.116745436,-0.153999734,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.549729537,-0.09022414,-1,0.617729095,0.672020771,-0.143497024,0.084813111,-0.927339901,-0.413604842,-0.344133645,-0.217888095,-0.773651421,-0.78902444,-0.928571429,-1,0.378160976,0.240510892,0.663895392,-1,0.649122807,0.654135338,0.218045113,-0.210526316,-0.941176471,-0.93814433,-0.124087591,-0.210526316,-0.971014493,0.115384615,-0.025210084,0.252747253,0.075471698,-1
4,2021/7/2,-0.002066116,0,4.84,-0.92679545,-0.261200771,-0.771634366,0.042201835,0.067335244,0.107941037,-0.201468564,-0.236842105,-0.236842105,0.044407895,0.160025707,0.433857141,-0.136881975,-0.236842105,-0.236842105,0.212045169,0.405669003,-0.009066815,-0.080996885,-0.080996885,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.184659721,0.651721566,0.055278233,-0.115971516,-0.115971516,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,-0.006367805,0.645303705,0.009700006,-0.005795168,0.638755719,-0.675039812,0.577167019,0.115044248,0.14159292,0.681196123,-0.947236885,0.042910448,-0.121473415,-0.209398702,0.926161219,-0.703006488,-0.142857143,-1,-0.421940594,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,-0.041604108,-0.153999734,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.549729537,-0.09022414,-1,0.617729095,0.672020771,-0.143497024,0.084813111,-0.927339901,-0.43510698,-0.344133645,-0.250189127,-0.773651421,-0.78902444,-0.928571429,-1,0.378160976,0.240510892,0.663895392,-1,0.614035088,0.62406015,0.187969925,-0.236842105,-1,-0.979381443,-0.153284672,-0.236842105,-0.971014493,0.115384615,-0.025210084,0.252747253,0.075471698,-1
5,2021/7/5,0.016563147,0,4.83,-0.96858878,-0.205869712,-0.563417108,0.108256881,0.053008596,0.093675701,-0.215236347,-0.25,-0.25,0.097039474,0.142352185,0.419543503,-0.151724306,-0.25,-0.25,0.096612296,0.321548308,-0.086065002,-0.152647975,-0.152647975,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.070050986,0.594519257,-0.001796655,-0.163784334,-0.163784334,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,-0.023197201,0.631115853,-0.00746104,0.003487916,0.624305948,-0.675039812,0.5602537,0.097345133,0.123893805,0.668443968,-1,0.098880597,-0.112127388,-0.222264646,0.926161219,-0.703006488,-0.142857143,-1,0.006732673,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,-0.016229842,-0.153999734,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.549729537,-0.09022414,-1,0.617729095,0.672020771,-0.077861855,0.084813111,-0.927339901,-0.43510698,-0.344133645,-0.287209619,-0.773651421,-0.78902444,-0.964285714,-1,0.378160976,0.240510892,0.663895392,-1,0.789473684,0.609022556,0.172932331,-0.25,-1,-1,-0.167883212,-0.25,-1,0.096153846,-0.042016807,0.252747253,0.075471698,-1
6,2021/7/6,-0.00814664,0,4.91,-0.722091849,-0.011410764,-0.23796243,0.269724771,0.167621777,0.207798383,-0.10509408,-0.144736842,-0.144736842,0.268092105,0.28374036,0.534052606,-0.032985661,-0.144736842,-0.144736842,0.076537014,0.306918622,-0.099455991,-0.165109034,-0.165109034,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.109066726,0.613992383,0.017633094,-0.14750763,-0.14750763,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.111437968,0.744618668,0.129827324,0.098245558,0.739904118,-0.675039812,0.695560254,0.238938053,0.265486726,0.770461208,-0.577895081,0.259328358,-0.186895608,-0.119337097,0.926161219,-0.703006488,-0.142857143,-1,0.756910891,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,0.214457483,0.034936792,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.549729537,-0.09022414,-1,0.617729095,0.672020771,0.09997515,0.084813111,-0.927339901,-0.380200251,-0.344133645,-0.237720291,-0.773651421,-0.78902444,-0.75,-1,0.378160976,0.240510892,0.663895392,-1,1,0.729323308,0.293233083,-0.144736842,-0.764705882,-0.835051546,-0.051094891,-0.144736842,-1,0.096153846,-0.042016807,0.252747253,0.075471698,-1
7,2021/7/7,0.004106776,0,4.87,-0.928093469,-0.260861316,-0.426224842,0.211009174,0.110315186,0.150737042,-0.160165213,-0.197368421,-0.197368421,0.169407895,0.213046272,0.476798055,-0.092354983,-0.197368421,-0.197368421,0.056461731,0.292288936,-0.11284698,-0.177570093,-0.177570093,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.109066726,0.613992383,0.017633094,-0.14750763,-0.14750763,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.044120384,0.687867261,0.061183142,0.082808775,0.682105033,-0.675039812,0.627906977,0.168141593,0.194690265,0.719452588,-0.788947541,0.192164179,-0.149511498,-0.170800871,0.926161219,-0.703006488,-0.142857143,-0.8,-0.421940594,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,-0.091525349,0.034603992,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.633114704,-0.09022414,-1,0.617729095,0.205861644,0.085711805,0.084813111,-0.927339901,-0.388847112,-0.344133645,-0.276688864,-0.773651421,-0.78902444,-0.892857143,-1,0.378160976,0.240510892,0.663895392,-1,0.929824561,0.669172932,0.233082707,-0.197368421,-0.882352941,-0.917525773,-0.109489051,-0.197368421,-1,0.096153846,-0.042016807,0.252747253,0.075471698,-1
8,2021/7/8,0.008179959,0,4.89,-0.803815672,-0.178317566,-0.32573376,0.236697248,0.138968481,0.179267713,-0.132629647,-0.171052632,-0.171052632,0.195723684,0.248393316,0.505425331,-0.062670322,-0.171052632,-0.171052632,0.071518193,0.303261201,-0.102803738,-0.168224299,-0.168224299,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.143205498,0.631031369,0.034634124,-0.133265514,-0.133265514,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.077779176,0.716242964,0.095505233,0.119275001,0.711004575,-0.675039812,0.661733615,0.203539823,0.230088496,0.744956898,-0.683421311,0.199626866,-0.168203553,-0.145068984,0.926161219,-0.703006488,-0.142857143,0.4,0.140693069,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,0.060209464,0.106993665,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.493776538,-0.09022414,-1,0.617729095,-0.085880059,0.100569339,0.084813111,-0.927339901,-0.400498086,-0.344133645,-0.234683167,-0.773651421,-0.78902444,-0.821428571,-1,0.378160976,0.240510892,0.663895392,-1,0.964912281,0.69924812,0.263157895,-0.171052632,-0.823529412,-0.87628866,-0.080291971,-0.171052632,-1,0.096153846,-0.042016807,0.252747253,0.075471698,-1
9,2021/7/9,-0.002028398,0,4.93,-0.723777103,-0.012211006,-0.336487759,0.27706422,0.196275072,0.236329054,-0.077558513,-0.118421053,-0.118421053,0.243421053,0.319087404,0.562679882,-0.003300999,-0.118421053,-0.118421053,0.116687578,0.336177995,-0.072674013,-0.140186916,-0.140186916,0.585503964,0.060596345,-0.074243813,-0.074243813,-0.284922718,-0.397540984,-0.397540984,-0.774060395,-0.723842196,0.004769475,0.218798493,0.668760551,0.072279263,-0.1017294,-0.1017294,0.840619787,0.090832173,-0.122385264,-0.122385264,-0.763273652,-0.835804429,-0.835804429,-1,-0.643300192,1,0.145096761,0.772994371,0.164149415,0.171878627,0.76880366,-0.675039812,0.729386892,0.274336283,0.300884956,0.795965519,-0.472368852,0.246268657,-0.205587663,-0.093605209,0.926161219,-0.703006488,-0.142857143,0.4,0.756910891,-0.722384878,-0.730167968,-0.016465157,0.619295737,0.619295737,0.741473904,0.741473904,0.721790325,0.721790325,-0.122915888,-0.645324652,-0.01,-0.676507564,0.110647943,0.169791978,-0.124799065,-0.622052484,-0.124799065,-0.124799065,-0.231188029,-0.09022414,-1,0.397429219,0.320738494,0.155404871,0.084813111,-0.927339901,-0.3517128,-0.344133645,-0.190711307,-0.773651421,-0.78902444,-0.75,-1,0.378160976,0.240510892,0.663895392,-1,1,0.759398496,0.323308271,-0.118421053,-0.705882353,-0.793814433,-0.02189781,-0.118421053,-1,0.096153846,-0.042016807,0.252747253,0.075471698,-1
