,date,future,prediction,close,hl_pct,co_pct,vm5_pct,close-sma5,close-sma10,close-sma30,close-sma60,close-sma90,close-sma120,close-wma5,close-wma10,close-wma30,close-wma60,close-wma90,close-wma120,sma5-10,sma5-30,sma5-60,sma5-90,sma5-120,sma10-30,sma10-60,sma10-90,sma10-120,sma30-60,sma30-90,sma30-120,sma60-90,sma60-120,sma90-120,wma5-10,wma5-30,wma5-60,wma5-90,wma5-120,wma10-30,wma10-60,wma10-90,wma10-120,wma30-60,wma30-90,wma30-120,wma60-90,wma60-120,wma90-120,close-ema,close-dema,close-trendline,close-sar,close-kama,fama-mama,close-mavp,close-midpoint,close-midprice,close-t35,close-tema5,close-trima5,bbup-close,close-bblow,adx-adxr,apo,AROON,aroonos,bop,cci,cmo,dx,dif-dea,macd,difext-deaext,macdext,diffix-deafix,macdfix,mfi,DI,mom,ppo,roc1,roc5,roc10,roc30,rocp,rocr,rsi6,rsi12,rsi24,SKD,FKD,trix,ultosc,willr,ad,adosc,obv,atr,natr,trange,ht_dcperiod,ht_dcphase,HT_PHASOR,HT_SINE,ht_trendmode,close-max5,close-max30,close-max60,close-max120,close-min5,close-min10,close-min30,close-min60,min5-min10,min5-min30,min5-min60,min10-min30,min10-min60,min30-min60,mon,tue,wed,thr,fri
0,2021/6/8,8.45,0,8.54,-0.178024183,0.350988179,0.384632444,1,1,1,1,1,1,1,1,1,1,1,1,0.656509695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.765821285,0.978054133,0.983212087,0.983212087,0.98341576,1,1,1,1,1,1,1,0.557477318,1,1,1,1,1,0.569174765,1,-1,1,0.88976378,1,1,1,0.977220957,-1,1,-0.262103739,-0.455382532,0.090909091,-0.4,0.307692308,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.023636495,0.07785985,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.298356873,-0.229323438,-0.904727246,-0.446814661,-0.016317376,-0.4830892,-0.592394342,-0.720930233,1,-0.982627545,0.964653792,0.753303095,0.543506543,-0.473684211,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,1,1,1,1,1,0.619047619,1,1,-0.666666667,1,1,1,1,1,0,1,0,0,0
1,2021/6/9,8.44,0,8.45,-0.245439551,-0.218024589,0.384632444,0.6,0.722222222,0.855033557,0.873239437,0.873239437,0.873239437,0.593373494,0.69292804,0.852221967,0.873239437,0.873239437,0.873487695,0.656509695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.765821285,0.978054133,0.983212087,0.983212087,0.98341576,1,1,1,1,1,1,1,0.557477318,1,1,0.720630662,0.888690449,0.885518512,0.386230867,0.867739566,-1,0.860773481,0.606299213,0.712,0.833517177,0.521651378,0.608200456,-0.883342604,0.873239437,-0.262103739,-0.455382532,0.090909091,-0.4,-0.583333333,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.023636495,0.07785985,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.298356873,-0.229323438,-0.904727246,-0.446814661,-0.016317376,-0.4830892,-0.592394342,-0.720930233,0.919990838,-0.982627545,0.881607423,0.753303095,0.543506543,-0.473684211,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.7,0.861538462,0.873239437,0.873239437,0.379310345,0.19047619,0.842105263,0.873239437,-0.666666667,1,1,1,1,1,0,0,1,0,0
2,2021/6/10,8.25,0,8.44,-0.166118644,-0.012203047,0.384632444,0.555555556,0.691358025,0.838926174,0.85915493,0.85915493,0.85915493,0.548192771,0.658808933,0.835802186,0.85915493,0.85915493,0.859430772,0.656509695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.765821285,0.978054133,0.983212087,0.983212087,0.98341576,1,1,1,1,1,1,1,0.557477318,1,1,0.689589625,0.876322721,0.872798346,0.360618721,0.853043962,-1,0.845303867,0.57480315,0.68,0.815019086,0.468501531,0.567198178,-0.870380671,0.85915493,-0.262103739,-0.455382532,0.090909091,-0.4,-0.230769231,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.331279981,0.07785985,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.298356873,-0.229323438,-0.904727246,-0.446814661,-0.016317376,-0.4830892,-0.592394342,-0.720930233,0.770799524,-0.982627545,0.752561817,0.753303095,0.543506543,-0.421052632,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.666666667,0.846153846,0.85915493,0.85915493,0.310344828,0.142857143,0.824561404,0.85915493,-0.666666667,1,1,1,1,1,0,0,0,1,0
3,2021/6/11,8.28,0,8.25,0.817434229,-1,0.384632444,-0.288888889,0.104938272,0.532885906,0.591549296,0.591549296,0.591549296,-0.310240964,0.010545906,0.523826339,0.591549296,0.591549296,0.592349239,0.656509695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.765821285,0.978054133,0.983212087,0.983212087,0.98341576,1,1,1,1,1,1,1,0.557477318,1,1,0.099809912,0.641335891,0.631115204,-0.304890523,0.573827491,-1,0.551381215,-0.023622047,0.072,0.463555348,-0.541345559,-0.211845103,-0.624103946,0.591549296,-0.262103739,-0.455382532,0.090909091,-0.4,-0.88,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,-0.370099095,0.07785985,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.298356873,-0.229323438,-0.904727246,-0.446814661,-0.016317376,-0.4830892,-0.592394342,-0.720930233,0.559812238,-0.982627545,0.535303364,0.753303095,0.543506543,0.210526316,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.033333333,0.553846154,0.591549296,0.591549296,-1,-0.761904762,0.49122807,0.591549296,-0.666666667,1,1,1,1,1,0,0,0,0,1
4,2021/6/15,8.42,0,8.28,0.571022204,0.519215122,0.384632444,-0.155555556,0.197530864,0.581208054,0.633802817,0.633802817,0.633802817,-0.174698795,0.112903226,0.573085683,0.633802817,0.633802817,0.634520007,0.656509695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.765821285,0.978054133,0.983212087,0.983212087,0.98341576,1,1,1,1,1,1,1,0.557477318,1,1,0.192933025,0.678439075,0.6692757,-0.243909224,0.617914302,-1,0.597790055,0.070866142,0.168,0.519049623,-0.381896019,-0.088838269,-0.662989745,0.633802817,-0.262103739,-0.455382532,0.090909091,-0.4,0.318181818,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.489777626,0.07785985,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.298356873,-0.229323438,-0.904727246,-0.446814661,-0.016317376,-0.4830892,-0.592394342,-0.720930233,0.641422951,-0.982627545,0.794135553,0.753303095,0.543506543,0.052631579,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.133333333,0.6,0.633802817,0.633802817,-0.793103448,-0.619047619,0.543859649,0.633802817,-0.666666667,1,1,1,1,1,0,1,0,0,0
5,2021/6/16,8.37,0,8.42,0.933840412,0.88831716,-0.234486148,0.573333333,0.62962963,0.806711409,0.830985915,0.830985915,0.830985915,0.415662651,0.59057072,0.802962623,0.830985915,0.830985915,0.831316926,0.523545706,0.948717949,0.960848287,0.960848287,0.960848287,1,1,1,1,1,1,1,1,1,1,0.838824366,0.998536942,0.998880806,0.998880806,0.998894384,1,1,1,1,1,1,1,0.557477318,1,1,0.62750755,0.851587265,0.847358015,0.075632784,0.823652755,-1,0.814364641,0.511811024,0.616,0.778022903,0.362201838,0.703872437,-0.844456805,0.830985915,-0.262103739,-0.455382532,0.090909091,-0.4,0.518518519,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.926218709,0.07785985,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.298356873,-0.229323438,-0.904727246,-0.446814661,-0.016317376,0.408165655,-0.592394342,-0.720930233,0.685497503,-0.982627545,1,0.753303095,0.543506543,0.315789474,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.9,0.815384615,0.830985915,0.830985915,0.172413793,0.047619048,0.789473684,0.830985915,-0.666666667,1,1,1,1,1,0,0,1,0,0
6,2021/6/17,8.27,0,8.37,-0.078751185,-0.117725299,-0.958209577,0.422222222,0.475308642,0.726174497,0.76056338,0.76056338,0.76056338,0.186746988,0.419975186,0.720863716,0.76056338,0.76056338,0.761032313,0.434903047,0.914529915,0.934747145,0.934747145,0.934747145,1,1,1,1,1,1,1,1,1,1,0.844038872,1,1,1,1,1,1,1,1,1,1,1,0.557477318,1,1,0.472302362,0.789748626,0.783757188,0.007561392,0.750174736,-1,0.737016575,0.354330709,0.456,0.685532446,0.096452603,0.530751708,-0.779647141,0.76056338,-0.262103739,-0.455382532,0.090909091,-0.4,-0.357142857,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.174919358,0.153173557,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.298356873,-0.229323438,-0.904727246,-0.446814661,-0.016317376,0.465224683,-0.592394342,-0.720930233,0.616843983,-0.982627545,0.896079664,0.753303095,0.543506543,-0.368421053,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.766666667,0.738461538,0.76056338,0.76056338,-0.172413793,-0.19047619,0.701754386,0.76056338,-0.666666667,1,1,1,1,1,0,0,0,1,0
7,2021/6/18,8.2,0,8.27,0.253871228,-0.537728356,-0.857511164,0.128888889,0.166666667,0.565100671,0.61971831,0.61971831,0.61971831,-0.141566265,0.078784119,0.556665902,0.61971831,0.61971831,0.620463085,0.246537396,0.841880342,0.879282219,0.879282219,0.879282219,1,1,1,1,1,1,1,1,1,1,0.630244134,0.940014631,0.954113039,0.954113039,0.954669743,1,1,1,1,1,1,1,0.557477318,1,1,0.161891987,0.666071347,0.656555535,-0.182927925,0.603218698,-1,0.582320442,0.039370079,0.136,0.500551531,-0.435045866,0.079726651,-0.650027812,0.61971831,-0.262103739,-0.455382532,0.090909091,-0.4,-0.722222222,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,-0.022691162,-0.022206326,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.46792663,-0.229323438,-0.904727246,-0.446814661,-0.487822208,0.055750635,-0.592394342,-0.720930233,0.496360453,-0.982627545,0.778838563,0.753303095,0.543506543,-0.157894737,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.5,0.584615385,0.61971831,0.61971831,-0.862068966,-0.666666667,0.526315789,0.61971831,-0.666666667,1,1,1,1,1,0,0,0,0,1
8,2021/6/21,8.21,0,8.2,-0.377858531,-0.228961393,-0.756217403,-0.137777778,-0.049382716,0.452348993,0.521126761,0.521126761,0.521126761,-0.280120482,-0.160049628,0.441727432,0.521126761,0.521126761,0.522064625,0.191135734,0.820512821,0.862969005,0.862969005,0.862969005,1,1,1,1,1,1,1,1,1,1,0.322588291,0.853694221,0.888080582,0.888080582,0.889438397,1,1,1,1,1,1,1,0.557477318,1,1,-0.055395275,0.579497251,0.567514377,-0.293507347,0.500349472,-1,0.474033149,-0.181102362,-0.088,0.371064891,-0.807094794,-0.157175399,-0.559294282,0.521126761,-0.262103739,-0.455382532,0.090909091,0.2,-0.7,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.091849698,0.209146231,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.567329591,-0.229323438,-0.904727246,-0.446814661,-0.519500721,-0.231326384,-0.592394342,-0.720930233,0.414927777,-0.982627545,0.661444229,0.753303095,0.543506543,-0.578947368,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.266666667,0.476923077,0.521126761,0.521126761,-1,-1,0.403508772,0.521126761,-1,0.882352941,0.911504425,1,1,1,1,0,0,0,0
9,2021/6/22,8.19,0,8.21,-0.459240292,0.090194396,-0.789318865,-0.031111111,-0.018518519,0.468456376,0.535211268,0.535211268,0.535211268,-0.087349398,-0.125930521,0.458147213,0.535211268,0.535211268,0.536121548,0.113573407,0.790598291,0.840130506,0.840130506,0.840130506,1,1,1,1,1,1,1,1,1,1,0.067077507,0.782004389,0.833240067,0.833240067,0.835263212,1,1,1,1,1,1,1,0.557477318,1,1,-0.024354238,0.591864979,0.580234542,-0.242738383,0.515045076,-1,0.489502762,-0.149606299,-0.056,0.389562983,-0.753944947,0.061503417,-0.572256215,0.535211268,-0.262103739,-0.455382532,0.090909091,0.2,-0.111111111,-1,-0.410519165,-0.034400902,-0.462101198,-0.462101198,-0.648058753,-0.648058753,-0.730215862,-0.730215862,-0.587297033,-0.309569471,-0.298245614,-0.975495985,0.410300135,0.169822332,-0.309261609,-0.86438876,-0.309261609,-0.309261609,-0.519988952,-0.229323438,-0.904727246,-0.605409955,-0.33104308,-0.086963356,-0.592394342,-0.720930233,0.357619915,-0.982627545,0.750669196,0.753303095,0.543506543,-0.631578947,-0.916040913,0.392382964,-0.058873537,0.668758522,-1,0.3,0.492307692,0.535211268,0.535211268,-0.931034483,-0.952380952,0.421052632,0.535211268,-1,0.882352941,0.911504425,1,1,1,0,1,0,0,0
